city,date,pm25,pm10,no2,so2,co,o3,aqi,aqi_category
Delhi,2015-01-01,99.86856612044932,147.10328009702562,49.715328071510385,19.61514928204013,0.7297539875829993,46.487945645762295,103,Moderate
Delhi,2015-01-02,143.16851262029564,208.51720720335382,32.95788421097572,14.712800217929823,0.6609746921562614,43.01405369644615,141,Moderate
Delhi,2015-01-03,89.67849086264137,101.41288596948542,14.126232512304508,9.188562353795136,0.49615066389967294,54.71370998892911,82,Satisfactory
Delhi,2015-01-04,43.67903697915156,65.43296295244573,61.98473153382331,10.871118497567322,0.8202584614063771,28.628777206798148,50,Good
Delhi,2015-01-05,58.224691018992694,110.44314281319001,22.735096338665457,13.87849009172836,0.6198083930243585,45.62459375310085,69,Satisfactory
Delhi,2015-01-06,55.931735510824126,142.9772992010029,39.79754162893099,6.711445355220498,1.0467634736309568,31.687345250434667,78,Satisfactory
Delhi,2015-01-07,88.35454380019021,99.1611413225947,20.077209266523543,12.984306179345618,1.0215399739986233,52.57052421784956,81,Satisfactory
Delhi,2015-01-08,75.37406870447037,119.3519947926846,17.822170144488588,8.400778958026457,0.6618083687120638,65.85683339328374,81,Satisfactory
Delhi,2015-01-09,93.74473158273845,108.48392847548376,44.86125954092192,10.074588597918417,0.5969233999082124,59.175144332613016,89,Satisfactory
Delhi,2015-01-10,121.23998089983803,189.865583282162,27.41173715166042,10.453938120743928,0.8993790294210693,64.63317690683539,126,Moderate
Delhi,2015-01-11,60.833030486188406,107.11985095291206,23.404975389909577,6.018966879596646,1.0437577467182595,70.34360042856234,71,Satisfactory
Delhi,2015-01-12,77.11959513678664,147.1902530946271,45.424540375714514,8.774401226974378,0.9084186816525243,73.07054849698955,94,Satisfactory
Delhi,2015-01-13,78.56695843560193,159.85983155188205,5.0,16.10951252187612,0.8261141204714514,45.51488974301199,92,Satisfactory
Delhi,2015-01-14,83.67043106142009,93.91905276940224,36.70492168243732,13.785562857558732,1.2433682134224548,42.22594672589529,77,Satisfactory
Delhi,2015-01-15,47.660255884272495,87.62511501258177,53.731031765531114,13.643755548298422,0.6410719388698884,57.699011496700344,61,Satisfactory
Delhi,2015-01-16,83.88310197392161,153.25600178457938,29.469203591839715,10.361689267011158,0.6823675540603528,28.04727577801822,93,Satisfactory
Delhi,2015-01-17,91.84481108258305,147.06591652618084,40.07670184963691,10.827064333124266,0.3753887773848758,43.69032015851961,98,Satisfactory
Delhi,2015-01-18,66.29141933892922,100.24587395449683,37.580714325009865,14.020254284072692,1.365855770363159,52.61866719247759,72,Satisfactory
Delhi,2015-01-19,90.30201562891057,138.8130973135872,11.218431770514378,11.867430622753915,0.818069062982308,86.94863168727929,96,Satisfactory
Delhi,2015-01-20,72.3055614087551,128.33650825542736,39.47932345442135,6.15660981190234,1.1428468443545061,61.27899549030161,84,Satisfactory
Delhi,2015-01-21,111.64127788172188,143.4535287858271,61.041914664041485,4.990744686038596,0.9760571281400812,82.85683438714968,113,Moderate
